price,title,loc_string,loc,type,subtype,selltype,desc,size,rooms,bathrooms,ppm2
320000.0,Piso Tallers. Piso con 2 habitaciones con ascensor,Barcelona - Sant Antoni,,FLAT,FLAT,SECOND_HAND,"Piso en última planta a reformar en calle Tallers junto a plaza Universitat.

La propiedad ofrece muchas posibilidades para personalizarla según sus necesidades, ya que todas las paredes son tabiques.

La distribución actual cuenta con salón comedor amplio, cocina, dos habitaciones dobles exteriores, dos habitaciones interiores, baño y despensa/trastero. Balcones a ambos lados de la vivienda, uno a patio de manzana y los otros dos a carrer Tallers. Suelos originales.

Finca del 1882 con ascensor.

Calle peatonal con encanto en el centro de Barcelona, rodeada de todo tipo de comercios y servicios. Buenas comunicaciones mediante transportes publicos, metro, autobuses y FFCC.",85.0,2.0,1.0,3647.0
335000.0,Piso C/ de valència. Piso reformado en venta de dos dormitorios en els encants,Barcelona - Dreta de l´Eixample,,FLAT,FLAT,SECOND_HAND,"Ubicado en la zona del Camp de l’Arpa, cerca de la Sagrada Familia y de zona dels Encants, encontramos este magnífico piso reformado de 65m2 con doble orientación y mucha luminosidad.

El piso se sitúa en la tercera planta real de esta finca clásica del año 1900.

Su distribución actual se compone de un salón comedor exterior con salida a balcón, una cocina equipada y semi abierta, un dormitorio individual interior, un cuarto de baño completo con plato de ducha, un dormitorio doble amplio exterior a galería y patio de manzana. En la galería, se encuentra la zona de aguas y un trastero.

La vivienda goza de mucha luz natural y ventilación cruzada, el balcón orienta a noroeste.

La propiedad cuenta con suelos de parquet laminado de la marca Quickstep en la mayoría de las estancias y suelos de gres porcelánico en el baño.

El piso dispone de carpinterías de aluminio con doble acristalamiento, persianas eléctricas, calefacción y aire acondicionado por bomba de calor.

La finca está dotada de portero automático y de una terraza comunitaria muy disfrutable.

La finca NO dispone de ascensor. Ref. VB2304001",65.0,2.0,1.0,5000.0
330000.0,Piso en Dreta de l´Eixample. Acogedor piso al lado de rambla catalunya,Barcelona - Dreta de l´Eixample,,FLAT,FLAT,SECOND_HAND,"En pleno centro de Barcelona, justo al lado de Rambla Catalunya, encontramos este piso de 77 metros cuadrados en una finca clásica.
Al entrar al piso nos encontramos en el recibidor de la vivienda y a continuación tenemos el baño completo. Siguiendo el pasillo llegamos a la zona de día que está configurada con la cocina y el comedor como espacio abierto. Al lado de este espacio tenemos dos dormitorios dobles ambos exteriores y con mucha luz natural debido a la altura del piso.
El piso está reformado para entrar a vivir. La finca tiene ascensor.
Se trata de una oportunidad única para tener una propiedad en el centro de Barcelona, justo al lado de Rambla Catalunya, Passeig de Gràcia y Plaza Universitat.
Esta propiedad se encuentra en el corazón del Eixample, justo al lado de Rambla Catalunya y de Passeig de Gràcia, muy bien comunicada con el transporte público y a pocos minutos andando de Plaça Universitat y de la estación de metro Universitat (L1-L2) o de diversas paradas de autobús.

El distrito del Eixample combina a la perfección su función residencial con la mejor oferta de ocio, cultura y comercio (cines, restaurantes, museos, Universidad de Barcelona y diversidad de tiendas comerciales y supermercados).

Con un agradable paseo se llega a Plaça Catalunya o Passeig de Gràcia dentro de 5 minutos, o bien en sentido contrario a Plaça Espanya, centros neurálgicos de la ciudad con una comunicación inmejorable.",77.0,2.0,1.0,4286.0
435000.0,"Piso Barcelona - corts catalanes. Soleado, céntrico, exterior.",Barcelona - Sant Antoni,,FLAT,FLAT,SECOND_HAND,"Vivienda espaciosa en Sant Antoni, cerca de Pl. España y centro comercial de Las Arenas. 
Amplio salón comedor, muy luminoso.  Gran cocina office, con salida a galería. 3 habitaciones, de las cuales  2 son dobles grandes con vistas y exteriores (anteriormente eran 4 habitaciones). 
2 baños completos.  2 Ascensores. Calefacción a gas.  Persianas automáticas. Carpintería exterior de aluminio con doble cristal. 103 m2 construidos, 96 m2 de vivienda según catastro.
Cerca de todos los servicios, CAP, hospital,  montaña de Montjuic. ... Buenas comunicaciones.  Agradable para vivir. Venga a verlo.",96.0,3.0,2.0,4531.0
410000.0,"Piso en Carrer de sardenya 271. Alto, reformado, mucha luz, vistas, techos altos, ascensor aprob",Barcelona - Sagrada Família,Carrer de Sardenya 271,FLAT,FLAT,SECOND_HAND,"En el corazón de Barcelona, en una hermosa finca de principios de siglo, encontramos esta espectacular vivienda completamente reformada con vistas a la Sagrada Familia.

La propiedad no dispone de ascensor pero está aprobado en junta y fase de instalación.

El piso da a un patio de manzana, muy tranquilo y luminoso. Es doblemente exterior.
Es tipo loft, dispone de muchas opciones de redistribución, pudiendo ser adaptado al gusto deseado.

Se compone de un amplio salón comedor con cocina Americana con amplios ventanales que dan a la Sagrada Familia. Techos de vigas de casi 4 m2 de altura que aportan personalidad y sensación de amplitud. Una amplia habitación doble con baño tipo suite (originariamente eran 3, se pueden recuperar con facilidad). Una agradable terraza con vistas a la Sagrada Familia.

Parket de calidad, radiadores independientes de gas, aire acondicionado y electrodomésticos de calidad.

Excelentemente comunicada mediante transporte público, a 3 minutos caminando de la estación de Sagrada Familia (L5 Azul) a 3 minutos caminando de la estación Monumental (L2 Lila) y a 8 minutos caminando de la parada de metro Plaza Tetuan (L1 Roja). Aparte de múltiples autobuses que cruzan de extremo a extremo la ciudad condal.

No pierda la oportunidad de visitarlo.

En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA + AJD ) no están incluidos en el precio.",84.0,2.0,1.0,4881.0
435000.0,"Piso Carrer de nàpols. Piso con 4 habitaciones con ascensor, calefacción y aire acondic",Barcelona - Fort Pienc,,FLAT,FLAT,SECOND_HAND,"Fantástico piso ubicado en el Fort Pienc de Barcelona. Consta de 91 m2 construidos y una gran terraza de 18 m2. Se distribuye de la siguiente forma:

- Hall recibidor.
- Cocina Office con salida a galería.
- 4 Dormitorios, 1 doble exterior, 1 individual exterio y 2 individual interior.
- 2 Baños.
- Salón comedor de dos ambientes con salida a terraza.

El piso dispone de calefacción por radiadores, aire acondicionado en el comedor, persianas electricas en el comedor y carpinteria de aluminio de doble cristal.

Muy buena zona, con todos los servicios. Disponibilidad inmediata!

Pk en el mismo edificio de obligada compra por 30.000 euros adicionales. Posibilidad de una segunda plaza de aparcamiento en un edificio cercano.",91.0,4.0,2.0,4780.0
410000.0,Piso Gran via de les corte catalanes 543. Vivienda reformada en finca modernista,Barcelona - L´Antiga Esquerra de l´Eixample,,FLAT,FLAT,SECOND_HAND,"Espectacular vivienda moderna en finca regia en el Ensanche Izquierdo de Barcelona. Reformada integralmente hace 5 años, destaca por su espacios modernos, amplios y luminosos. Desde la entrada nos introducimos en un distribuidor que conecta con el salón, un espacio amplio, muy versátil y con mucha luz por sus dos balconeras modernistas. Los techos son altos y la sensación general es de amplitud tanto en la sala de estar como en los dos dormitorios, además de las vistas despejadas a la ciudad desde los balcones.

A través de una gran corredera se accede a un dormitorio o despacho, según se quiera, un espacio muy luminoso también con balconera exterior.
Independiente a la zona de día y conectado por un pasillo, se encuentra el dormitorio principal, tipo suite con un vestidor y baño completo. Al baño general se accede con facilidad desde la zona de día y está dotado de una amplia ducha.

La ubicación es perfecta, en el centro de la ciudad, a pocos metros de la Rambla de Cataluña, Paseo de Gracia y Plaza Cataluña. Con todos los servicios y transportes públicos.

Mobiliario no incluido. Impuestos y gastos de compra-venta no incluidos en el precio de venta.",96.0,2.0,2.0,4271.0
350000.0,Piso Carrer de còrsega. Piso con 2 habitaciones con ascensor y aire acondicionado,Barcelona - Sagrada Família,,FLAT,FLAT,SECOND_HAND,"Coldwell Banker Eminent presenta en EXCLUSIVA este precioso piso ubicado en el barrio de Sagrada Familia.

Se trata de un primer piso real, exterior a calle, muy luminosa, que cuenta con dos habitaciones dobles, cocina abierta al comedor, lavadero separado, un espacio que actualmente se usa como escritorio y un cómodo cuarto de baño.
En el espacio donde está el escritorio se ha aprovechado la altura del techo con volta catalana para generar un altillo como espacio de guardado.

En la reforma que se ha hecho, se han respetado los techos con volta catalana, logrando así un espacio muy cálido.

Cuenta con aire acondicionado por Split en el living y en la habitación principal., y calefacción por radiadores.

El edificio ya ha pasado la ITE y cuenta con Certificado de Aptitud.

Por su excelente ubicación cuenta con diferentes medios de trasporte públicos, así como también con una gran variedad de restaurantes, supermercados, y comercios en general.

El precio de publicación no incluye Gastos de Notaría, Impuestos, ni Honorarios de agencia.",76.0,2.0,1.0,4605.0
435000.0,"Piso Gran via de les corts catalanes. Soleado, céntrico, exterior.",Barcelona - Sant Antoni,,FLAT,FLAT,SECOND_HAND,"Vivienda espaciosa en Sant Antoni, cerca de Pl. España y centro comercial de Las Arenas.

Amplio salón comedor, muy luminoso. Gran cocina office, con salida a galería. 3 habitaciones, de las cuales 2 son dobles grandes con vistas y exteriores (anteriormente eran 4 habitaciones).

2 baños completos. 2 Ascensores. Calefacción a gas. Persianas automáticas. Carpintería exterior de aluminio con doble cristal. 103 m2 construidos, 96 m2 de vivienda según catastro.

Cerca de todos los servicios, CAP, hospital, montaña de Montjuic. ... Buenas comunicaciones. Agradable para vivir.",103.0,3.0,2.0,4223.0
245000.0,Piso Calle valencia. Piso con 3 habitaciones con ascensor,Barcelona - Sagrada Família,,FLAT,FLAT,SECOND_HAND,"OPORTUNIDAD EN SAGRADA FAMILIA

Piso situado en el Barrio de Sagrada Familia muy cercano a todo tipo de comercios, hospital de Sant Pau, colegios, CC Les Glorias. Muy bien comunicado con la línea 5 (Azul) y línea 2 (Morada) parada de Sagrada Familia y con diversas líneas de autobuses.

La vivienda consta de 75m², distribuidos en:
- 3 Habitaciones
- 1 baño con ducha
- Cocina independiente
- Salón comedor
- Galería

Piso perfecto para actualizar, suelos de gres. La finca dispone de ascensor siendo un un tercero real de altura, del año 1954.

Si deseas asesoramiento financiero disponemos de un departamento hipotecario.
Si desea vender su vivienda, le ofrecemos una valoración profesional y gratuita.

¿Te lo vas a perder?

*Impuestos, gastos y honorarios de la agencia, no incluidos en el precio*

REF: JOR259VAL",82.0,3.0,1.0,2988.0
